master_protein	step	RBP_glyco	NC	CL	CL_NC_Ratio
A5YKK6	3	"GO:RBP, Non-Glycoprotein"	20.81009556	20.79932832	1.627122068
A8MYA2	1	"Novel RBP, Non-Glycoprotein"	22.37575022	23.32373957	0.947989343
A8MYA2	2	"Novel RBP, Non-Glycoprotein"	20.58141392	22.1125235	3.292199908
A8MYA2	3	"Novel RBP, Non-Glycoprotein"	NA	21.05394641	NA
C9JLW8	1	"Novel RBP, Non-Glycoprotein"	22.24852609	22.42371958	0.175193498
O00116	1	"Novel RBP, Non-Glycoprotein"	22.97334794	23.75648852	1.0242939
O00159	1	"Novel RBP, Non-Glycoprotein"	22.0279602	21.89928547	0.050704869
O00193	1	"Novel RBP, Non-Glycoprotein"	23.14341652	23.11510629	-0.009397568
O00203	1	"Novel RBP, Non-Glycoprotein"	22.4587694	22.12740932	0.390164612
O00203	2	"Novel RBP, Non-Glycoprotein"	23.47223759	23.25897753	-0.146510974
O00203	3	"Novel RBP, Non-Glycoprotein"	23.44027176	22.757076	-0.606563893
O00231	1	"Novel RBP, Non-Glycoprotein"	23.24544738	22.97375486	0.159400095
O00264	1	"Novel RBP, Non-Glycoprotein"	23.35478135	23.88252036	0.044350982
O00267	1	"GO:RBP, Non-Glycoprotein"	24.45444181	24.39859612	-0.150075123
O00267	2	"GO:RBP, Non-Glycoprotein"	21.75678707	22.18071008	0.712729878
O00299	1	"Novel RBP, Non-Glycoprotein"	24.7266491	25.39610927	0.761115071
O00429	1	"Novel RBP, Glycoprotein"	22.06474138	23.1501105	-0.305290062
O00461	1	"Novel RBP, Glycoprotein"	23.89635426	23.77990435	-0.099047177
O00461	2	"Novel RBP, Glycoprotein"	22.00201657	23.25991078	1.167359672
O00461	3	"Novel RBP, Glycoprotein"	22.67702105	20.88746077	2.342858753
O00468	1	"Novel RBP, Glycoprotein"	22.58728849	22.44220444	-0.562561717
O00468	2	"Novel RBP, Glycoprotein"	23.15341754	22.76481354	-0.579449751
O00468	3	"Novel RBP, Glycoprotein"	23.75849936	22.98709452	-0.786647756
O00468	4	"Novel RBP, Glycoprotein"	21.74160176	22.0747939	-0.080873846
O00469	1	"Novel RBP, Glycoprotein"	24.3101655	24.0867505	0.033862313
O00469	2	"Novel RBP, Glycoprotein"	21.73190613	22.22644496	0.529244057
O00487	1	"Novel RBP, Non-Glycoprotein"	22.7894562	22.53261088	-0.25684532
O00541	1	"GO:RBP, Non-Glycoprotein"	24.32827562	25.13435127	0.618630295
O00541	2	"GO:RBP, Non-Glycoprotein"	21.34833115	23.96940217	3.264005747
O00566	1	"GO:RBP, Non-Glycoprotein"	22.41368466	22.91362552	0.630413722
