Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..molecular.function.	Gene.ontology..biological.process.	Gene.ontology..cellular.component.
Q86V21	AACS_HUMAN	Acetoacetyl-CoA synthetase (EC 6.2.1.16) (Acyl-CoA synthetase family member 1) (Protein sur-5 homolog)	Homo sapiens (Human)	672	AACS	acetoacetate-CoA ligase activity [GO:0030729]; ATP binding [GO:0005524]; butyrate-CoA ligase activity [GO:0047760]	adipose tissue development [GO:0060612]; cellular response to cholesterol [GO:0071397]; cellular response to glucose stimulus [GO:0071333]; cellular response to testosterone stimulus [GO:0071394]; fatty acid metabolic process [GO:0006631]; ketone body biosynthetic process [GO:0046951]; liver development [GO:0001889]; positive regulation of insulin secretion [GO:0032024]; response to ethanol [GO:0045471]; response to nutrient [GO:0007584]; response to oleic acid [GO:0034201]; response to purine-containing compound [GO:0014074]; response to starvation [GO:0042594]; white fat cell differentiation [GO:0050872]	cytosol [GO:0005829]
P24752	THIL_HUMAN	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)	Homo sapiens (Human)	427	ACAT1	acetyl-CoA C-acetyltransferase activity [GO:0003985]; acetyl-CoA C-acyltransferase activity [GO:0003988]; C-acetyltransferase activity [GO:0016453]; coenzyme binding [GO:0050662]; enzyme binding [GO:0019899]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]	acetyl-CoA biosynthetic process [GO:0006085]; acetyl-CoA catabolic process [GO:0046356]; adipose tissue development [GO:0060612]; brain development [GO:0007420]; branched-chain amino acid catabolic process [GO:0009083]; cholesterol esterification [GO:0034435]; coenzyme A biosynthetic process [GO:0015937]; coenzyme A metabolic process [GO:0015936]; fatty acid beta-oxidation [GO:0006635]; isoleucine catabolic process [GO:0006550]; ketone body biosynthetic process [GO:0046951]; ketone body catabolic process [GO:0046952]; ketone body metabolic process [GO:1902224]; liver development [GO:0001889]; metanephric proximal convoluted tubule development [GO:0072229]; propionyl-CoA biosynthetic process [GO:1902860]; protein homooligomerization [GO:0051260]; response to hormone [GO:0009725]; response to organic cyclic compound [GO:0014070]; response to starvation [GO:0042594]	extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P30566	PUR8_HUMAN	Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	Homo sapiens (Human)	484	ADSL	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]	'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]; aerobic respiration [GO:0009060]; AMP biosynthetic process [GO:0006167]; protein tetramerization [GO:0051262]; purine nucleotide biosynthetic process [GO:0006164]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]; response to hypoxia [GO:0001666]; response to muscle activity [GO:0014850]; response to nutrient [GO:0007584]; response to starvation [GO:0042594]	cytosol [GO:0005829]
P27708	PYR1_HUMAN	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	Homo sapiens (Human)	2225	CAD	aspartate binding [GO:0070335]; aspartate carbamoyltransferase activity [GO:0004070]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; dihydroorotase activity [GO:0004151]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; zinc ion binding [GO:0008270]	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; animal organ regeneration [GO:0031100]; cellular response to drug [GO:0035690]; cellular response to epidermal growth factor stimulus [GO:0071364]; citrulline biosynthetic process [GO:0019240]; drug metabolic process [GO:0017144]; female pregnancy [GO:0007565]; glutamine metabolic process [GO:0006541]; heart development [GO:0007507]; lactation [GO:0007595]; liver development [GO:0001889]; nitrogen compound metabolic process [GO:0006807]; peptidyl-threonine phosphorylation [GO:0018107]; protein autophosphorylation [GO:0046777]; pyrimidine nucleoside biosynthetic process [GO:0046134]; response to amine [GO:0014075]; response to caffeine [GO:0031000]; response to cortisol [GO:0051414]; response to insulin [GO:0032868]; response to starvation [GO:0042594]; response to testosterone [GO:0033574]; UTP biosynthetic process [GO:0006228]	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; terminal bouton [GO:0043195]
P35638	DDIT3_HUMAN	DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153)	Homo sapiens (Human)	169	DDIT3	cAMP response element binding protein binding [GO:0008140]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; leucine zipper domain binding [GO:0043522]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	ATF6-mediated unfolded protein response [GO:0036500]; blood vessel maturation [GO:0001955]; cell cycle arrest [GO:0007050]; cell redox homeostasis [GO:0045454]; cellular response to DNA damage stimulus [GO:0006974]; ER overload response [GO:0006983]; establishment of protein localization to mitochondrion [GO:0072655]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; intrinsic apoptotic signaling pathway in response to nitrosative stress [GO:1990442]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of CREB transcription factor activity [GO:0032792]; negative regulation of determination of dorsal identity [GO:2000016]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of myoblast differentiation [GO:0045662]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding [GO:1903026]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902237]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein complex oligomerization [GO:0051259]; regulation of autophagy [GO:0010506]; regulation of DNA-templated transcription in response to stress [GO:0043620]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription involved in anterior/posterior axis specification [GO:0044324]; release of sequestered calcium ion into cytosol [GO:0051209]; response to endoplasmic reticulum stress [GO:0034976]; response to starvation [GO:0042594]; response to unfolded protein [GO:0006986]; Wnt signaling pathway [GO:0016055]	CHOP-ATF3 complex [GO:1990622]; CHOP-ATF4 complex [GO:1990617]; CHOP-C/EBP complex [GO:0036488]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; late endosome [GO:0005770]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-DNA complex [GO:0032993]
Q02127	PYRD_HUMAN	Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)	Homo sapiens (Human)	395	DHODH	dihydroorotate dehydrogenase activity [GO:0004152]; drug binding [GO:0008144]; FMN binding [GO:0010181]; ubiquinone binding [GO:0048039]	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; female pregnancy [GO:0007565]; lactation [GO:0007595]; positive regulation of apoptotic process [GO:0043065]; pyrimidine nucleoside biosynthetic process [GO:0046134]; pyrimidine ribonucleotide biosynthetic process [GO:0009220]; regulation of mitochondrial fission [GO:0090140]; response to caffeine [GO:0031000]; response to L-arginine [GO:1903576]; response to starvation [GO:0042594]	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]
P85037	FOXK1_HUMAN	Forkhead box protein K1 (Myocyte nuclear factor) (MNF)	Homo sapiens (Human)	733	FOXK1	14-3-3 protein binding [GO:0071889]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	canonical glycolysis [GO:0061621]; cell differentiation [GO:0030154]; cellular glucose homeostasis [GO:0001678]; muscle organ development [GO:0007517]; negative regulation of autophagy [GO:0010507]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; protein deubiquitination [GO:0016579]; regulation of gluconeogenesis by regulation of transcription from RNA polymerase II promoter [GO:0035947]; regulation of glucose metabolic process [GO:0010906]; response to starvation [GO:0042594]	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O43524	FOXO3_HUMAN	Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1)	Homo sapiens (Human)	673	FOXO3	beta-catenin binding [GO:0008013]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; mitochondrial sequence-specific DNA-binding transcription factor activity [GO:0034246]; protein kinase binding [GO:0019901]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription cofactor binding [GO:0001221]; transcription factor binding [GO:0008134]	aging [GO:0007568]; antral ovarian follicle growth [GO:0001547]; brain morphogenesis [GO:0048854]; cellular response to amyloid-beta [GO:1904646]; cellular response to corticosterone stimulus [GO:0071386]; cellular response to glucose stimulus [GO:0071333]; cellular response to hypoxia [GO:0071456]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to oxidative stress [GO:0034599]; cytokine-mediated signaling pathway [GO:0019221]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; glucose homeostasis [GO:0042593]; initiation of primordial ovarian follicle growth [GO:0001544]; insulin receptor signaling pathway [GO:0008286]; mitochondrial transcription [GO:0006390]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell migration [GO:0030336]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuronal stem cell population maintenance [GO:0097150]; oocyte maturation [GO:0001556]; ovulation from ovarian follicle [GO:0001542]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of hydrogen peroxide-mediated programmed cell death [GO:1901300]; positive regulation of muscle atrophy [GO:0014737]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of neural precursor cell proliferation [GO:2000177]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of translation [GO:0006417]; response to dexamethasone [GO:0071548]; response to starvation [GO:0042594]; response to water-immersion restraint stress [GO:1990785]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
O15228	GNPAT_HUMAN	Dihydroxyacetone phosphate acyltransferase (DAP-AT) (DHAP-AT) (EC 2.3.1.42) (Acyl-CoA:dihydroxyacetonephosphateacyltransferase) (Glycerone-phosphate O-acyltransferase)	Homo sapiens (Human)	680	GNPAT	glycerone-phosphate O-acyltransferase activity [GO:0016287]; palmitoyl-CoA hydrolase activity [GO:0016290]; signaling receptor binding [GO:0005102]	cerebellum morphogenesis [GO:0021587]; ether lipid biosynthetic process [GO:0008611]; fatty acid metabolic process [GO:0006631]; membrane organization [GO:0061024]; paranodal junction assembly [GO:0030913]; phosphatidic acid biosynthetic process [GO:0006654]; phospholipid biosynthetic process [GO:0008654]; protein targeting to peroxisome [GO:0006625]; response to drug [GO:0042493]; response to fatty acid [GO:0070542]; response to nutrient [GO:0007584]; response to starvation [GO:0042594]; synapse assembly [GO:0007416]	cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]
Q16822	PCKGM_HUMAN	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32)	Homo sapiens (Human)	640	PCK2	GTP binding [GO:0005525]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]; phosphoenolpyruvate carboxykinase activity [GO:0004611]	cellular response to dexamethasone stimulus [GO:0071549]; cellular response to glucose stimulus [GO:0071333]; cellular response to insulin stimulus [GO:0032869]; gluconeogenesis [GO:0006094]; glycerol biosynthetic process from pyruvate [GO:0046327]; hepatocyte differentiation [GO:0070365]; propionate catabolic process [GO:0019543]; pyruvate metabolic process [GO:0006090]; response to lipid [GO:0033993]; response to starvation [GO:0042594]	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
