Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..cellular.component.	Gene.ontology..biological.process.	Gene.ontology..molecular.function.
P08240	SRPRA_HUMAN	Signal recognition particle receptor subunit alpha (SR-alpha) (Docking protein alpha) (DP-alpha)	Homo sapiens (Human)	638	SRPRA	endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; signal recognition particle receptor complex [GO:0005785]	cotranslational protein targeting to membrane [GO:0006613]; IRE1-mediated unfolded protein response [GO:0036498]; protein targeting [GO:0006605]; protein targeting to ER [GO:0045047]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; RNA binding [GO:0003723]; signal recognition particle binding [GO:0005047]
P06748	NPM_HUMAN	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	Homo sapiens (Human)	294	NPM1	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]; ribonucleoprotein complex [GO:1990904]; spindle pole centrosome [GO:0031616]	cell aging [GO:0007569]; cellular response to UV [GO:0034644]; CENP-A containing nucleosome assembly [GO:0034080]; centrosome cycle [GO:0007098]; chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; intracellular protein transport [GO:0006886]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of centrosome duplication [GO:0010826]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; nucleocytoplasmic transport [GO:0006913]; nucleosome assembly [GO:0006334]; positive regulation of cell cycle G2/M phase transition [GO:1902751]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; protein complex oligomerization [GO:0051259]; protein localization [GO:0008104]; regulation of centriole replication [GO:0046599]; regulation of centrosome duplication [GO:0010824]; regulation of eIF2 alpha phosphorylation by dsRNA [GO:0060735]; regulation of endodeoxyribonuclease activity [GO:0032071]; regulation of endoribonuclease activity [GO:0060699]; regulation of mRNA stability involved in cellular response to UV [GO:1902629]; regulation of transcription by RNA polymerase II [GO:0006357]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit biogenesis [GO:0042274]; ribosomal small subunit export from nucleus [GO:0000056]; ribosome assembly [GO:0042255]; rRNA export from nucleus [GO:0006407]; signal transduction [GO:0007165]; viral process [GO:0016032]	activating transcription factor binding [GO:0033613]; chromatin binding [GO:0003682]; core promoter binding [GO:0001047]; histone binding [GO:0042393]; NF-kappaB binding [GO:0051059]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein kinase inhibitor activity [GO:0004860]; ribosomal large subunit binding [GO:0043023]; ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; Tat protein binding [GO:0030957]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; unfolded protein binding [GO:0051082]
Q9Y4P3	TBL2_HUMAN	Transducin beta-like protein 2 (WS beta-transducin repeats protein) (WS-betaTRP) (Williams-Beuren syndrome chromosomal region 13 protein)	Homo sapiens (Human)	447	TBL2	endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]	cellular response to glucose starvation [GO:0042149]; cellular response to hypoxia [GO:0071456]; endoplasmic reticulum unfolded protein response [GO:0030968]	phosphoprotein binding [GO:0051219]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; translation initiation factor binding [GO:0031369]
P19525	E2AK2_HUMAN	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	Homo sapiens (Human)	551	EIF2AK2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ribosome [GO:0005840]	activation of MAPKK activity [GO:0000186]; cellular response to amino acid starvation [GO:0034198]; defense response to virus [GO:0051607]; endoplasmic reticulum unfolded protein response [GO:0030968]; evasion or tolerance by virus of host immune response [GO:0030683]; innate immune response [GO:0045087]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of osteoblast proliferation [GO:0033689]; negative regulation of translation [GO:0017148]; negative regulation of viral genome replication [GO:0045071]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine production [GO:0001819]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of stress-activated MAPK cascade [GO:0032874]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of hematopoietic progenitor cell differentiation [GO:1901532]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of hematopoietic stem cell proliferation [GO:1902033]; regulation of NLRP3 inflammasome complex assembly [GO:1900225]; response to interferon-alpha [GO:0035455]; response to toxic substance [GO:0009636]; response to virus [GO:0009615]; translation [GO:0006412]	ATP binding [GO:0005524]; double-stranded RNA binding [GO:0003725]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; identical protein binding [GO:0042802]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein kinase activity [GO:0004672]; protein phosphatase regulator activity [GO:0019888]; protein serine/threonine kinase activity [GO:0004674]; RNA binding [GO:0003723]
P07900	HS90A_HUMAN	Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	Homo sapiens (Human)	732	HSP90AA1	axonal growth cone [GO:0044295]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic growth cone [GO:0044294]; endocytic vesicle lumen [GO:0071682]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; lysosomal lumen [GO:0043202]; melanosome [GO:0042470]; membrane [GO:0016020]; myelin sheath [GO:0043209]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]	axon extension [GO:0048675]; cellular response to heat [GO:0034605]; central nervous system neuron axonogenesis [GO:0021955]; chaperone-mediated autophagy [GO:0061684]; chaperone-mediated protein complex assembly [GO:0051131]; ciliary basal body-plasma membrane docking [GO:0097711]; cofactor metabolic process [GO:0051186]; cytokine-mediated signaling pathway [GO:0019221]; ERBB2 signaling pathway [GO:0038128]; establishment of cell polarity [GO:0030010]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; G2/M transition of mitotic cell cycle [GO:0000086]; mitochondrial transport [GO:0006839]; neutrophil degranulation [GO:0043312]; positive regulation of cellular protein catabolic process [GO:1903364]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein polymerization [GO:0032273]; positive regulation of tau-protein kinase activity [GO:1902949]; positive regulation of telomerase activity [GO:0051973]; protein insertion into mitochondrial outer membrane [GO:0045040]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; protein unfolding [GO:0043335]; receptor-mediated endocytosis [GO:0006898]; regulation of cellular protein localization [GO:1903827]; regulation of cellular response to heat [GO:1900034]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of nitric-oxide synthase activity [GO:0050999]; regulation of protein complex assembly [GO:0043254]; regulation of protein ubiquitination [GO:0031396]; response to antibiotic [GO:0046677]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; signal transduction [GO:0007165]; telomerase holoenzyme complex assembly [GO:1905323]; telomere maintenance via telomerase [GO:0007004]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; disordered domain specific binding [GO:0097718]; DNA polymerase binding [GO:0070182]; GTPase binding [GO:0051020]; histone deacetylase binding [GO:0042826]; identical protein binding [GO:0042802]; MHC class II protein complex binding [GO:0023026]; nitric-oxide synthase regulator activity [GO:0030235]; nucleotide binding [GO:0000166]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase activity [GO:0004713]; protein tyrosine kinase binding [GO:1990782]; RNA binding [GO:0003723]; scaffold protein binding [GO:0097110]; tau protein binding [GO:0048156]; TPR domain binding [GO:0030911]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]
P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	Homo sapiens (Human)	646	HSPA8	autophagosome [GO:0005776]; axon [GO:0030424]; blood microparticle [GO:0072562]; chaperone complex [GO:0101031]; clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane [GO:0061202]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; intracellular [GO:0005622]; lumenal side of lysosomal membrane [GO:0098575]; lysosomal lumen [GO:0043202]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; melanosome [GO:0042470]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic cytosol [GO:0099524]; presynaptic cytosol [GO:0099523]; Prp19 complex [GO:0000974]; ribonucleoprotein complex [GO:1990904]; secretory granule lumen [GO:0034774]; spliceosomal complex [GO:0005681]; terminal bouton [GO:0043195]	ATP metabolic process [GO:0046034]; axo-dendritic transport [GO:0008088]; cellular response to heat [GO:0034605]; cellular response to starvation [GO:0009267]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; chaperone-mediated autophagy [GO:0061684]; chaperone-mediated autophagy translocation complex disassembly [GO:1904764]; chaperone-mediated protein transport involved in chaperone-mediated autophagy [GO:0061741]; cytokine-mediated signaling pathway [GO:0019221]; late endosomal microautophagy [GO:0061738]; membrane organization [GO:0061024]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of supramolecular fiber organization [GO:1902904]; negative regulation of transcription, DNA-templated [GO:0045892]; neutrophil degranulation [GO:0043312]; protein folding [GO:0006457]; protein refolding [GO:0042026]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of cellular response to heat [GO:1900034]; regulation of mRNA stability [GO:0043488]; regulation of protein complex assembly [GO:0043254]; regulation of protein complex stability [GO:0061635]; regulation of protein import [GO:1904589]; regulation of protein stability [GO:0031647]; response to unfolded protein [GO:0006986]; slow axonal transport [GO:1990832]; vesicle-mediated transport [GO:0016192]; viral process [GO:0016032]	ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; C3HC4-type RING finger domain binding [GO:0055131]; cadherin binding [GO:0045296]; chaperone binding [GO:0051087]; clathrin-uncoating ATPase activity [GO:1990833]; enzyme binding [GO:0019899]; G protein-coupled receptor binding [GO:0001664]; heat shock protein binding [GO:0031072]; MHC class II protein complex binding [GO:0023026]; misfolded protein binding [GO:0051787]; protein binding, bridging [GO:0030674]; protein folding chaperone [GO:0044183]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]
P63244	RACK1_HUMAN	Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]	Homo sapiens (Human)	317	RACK1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; IRE1-RACK1-PP2A complex [GO:1990630]; midbody [GO:0030496]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; phagocytic cup [GO:0001891]; small ribosomal subunit [GO:0015935]	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; cell cycle [GO:0007049]; cellular response to glucose stimulus [GO:0071333]; cellular response to growth factor stimulus [GO:0071363]; gastrulation [GO:0007369]; negative regulation of cell growth [GO:0030308]; negative regulation of endoplasmic reticulum unfolded protein response [GO:1900102]; negative regulation of gene expression [GO:0010629]; negative regulation of hydrogen peroxide-induced neuron death [GO:1903208]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of phagocytosis [GO:0050765]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of translation [GO:0017148]; negative regulation of Wnt signaling pathway [GO:0030178]; pigmentation [GO:0043473]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell migration [GO:0030335]; positive regulation of ceramide biosynthetic process [GO:2000304]; positive regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051343]; positive regulation of gastrulation [GO:2000543]; positive regulation of Golgi to plasma membrane protein transport [GO:0042998]; positive regulation of GTPase activity [GO:0043547]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein homooligomerization [GO:0032464]; positive regulation of protein phosphorylation [GO:0001934]; protein ubiquitination [GO:0016567]; regulation of cell cycle [GO:0051726]; regulation of cell division [GO:0051302]; regulation of establishment of cell polarity [GO:2000114]; regulation of protein localization [GO:0032880]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; rescue of stalled ribosome [GO:0072344]; rhythmic process [GO:0048511]; viral process [GO:0016032]	cadherin binding [GO:0045296]; cyclin binding [GO:0030332]; cysteine-type endopeptidase activator activity involved in apoptotic process [GO:0008656]; enzyme binding [GO:0019899]; ion channel inhibitor activity [GO:0008200]; protein-containing complex scaffold activity [GO:0032947]; protein homodimerization activity [GO:0042803]; protein kinase C binding [GO:0005080]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase inhibitor activity [GO:0030292]; receptor tyrosine kinase binding [GO:0030971]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; SH2 domain binding [GO:0042169]; signaling adaptor activity [GO:0035591]; signaling receptor binding [GO:0005102]
P10809	CH60_HUMAN	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	Homo sapiens (Human)	573	HSPD1	cell surface [GO:0009986]; clathrin-coated pit [GO:0005905]; coated vesicle [GO:0030135]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; lipopolysaccharide receptor complex [GO:0046696]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; secretory granule [GO:0030141]	'de novo' protein folding [GO:0006458]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic mitochondrial changes [GO:0008637]; B cell activation [GO:0042113]; B cell cytokine production [GO:0002368]; B cell proliferation [GO:0042100]; chaperone-mediated protein complex assembly [GO:0051131]; interaction with symbiont [GO:0051702]; isotype switching to IgG isotypes [GO:0048291]; mitochondrion organization [GO:0007005]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of apoptotic process [GO:0043066]; positive regulation of apoptotic process [GO:0043065]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage activation [GO:0043032]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell mediated immune response to tumor cell [GO:0002842]; protein import into mitochondrial intermembrane space [GO:0045041]; protein maturation [GO:0051604]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; regulation of transcription by RNA polymerase II [GO:0006357]; response to cold [GO:0009409]; response to unfolded protein [GO:0006986]; T cell activation [GO:0042110]; viral process [GO:0016032]	apolipoprotein A-I binding [GO:0034186]; apolipoprotein binding [GO:0034185]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; chaperone binding [GO:0051087]; DNA replication origin binding [GO:0003688]; double-stranded RNA binding [GO:0003725]; enzyme binding [GO:0019899]; high-density lipoprotein particle binding [GO:0008035]; lipopolysaccharide binding [GO:0001530]; p53 binding [GO:0002039]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]
P11021	BIP_HUMAN	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	Homo sapiens (Human)	654	HSPA5	cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integral component of endoplasmic reticulum membrane [GO:0030176]; intracellular membrane-bounded organelle [GO:0043231]; melanosome [GO:0042470]; membrane [GO:0016020]; midbody [GO:0030496]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; smooth endoplasmic reticulum [GO:0005790]	ATF6-mediated unfolded protein response [GO:0036500]; cellular response to antibiotic [GO:0071236]; cellular response to calcium ion [GO:0071277]; cellular response to cAMP [GO:0071320]; cellular response to drug [GO:0035690]; cellular response to gamma radiation [GO:0071480]; cellular response to glucose starvation [GO:0042149]; cellular response to heat [GO:0034605]; cellular response to interleukin-4 [GO:0071353]; cellular response to manganese ion [GO:0071287]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to unfolded protein [GO:0034620]; cerebellar Purkinje cell layer development [GO:0021680]; cerebellum structural organization [GO:0021589]; chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; ER overload response [GO:0006983]; IRE1-mediated unfolded protein response [GO:0036498]; luteolysis [GO:0001554]; maintenance of protein localization in endoplasmic reticulum [GO:0035437]; negative regulation of apoptotic process [GO:0043066]; negative regulation of IRE1-mediated unfolded protein response [GO:1903895]; negative regulation of protein homodimerization activity [GO:0090074]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neuron apoptotic process [GO:0051402]; neuron differentiation [GO:0030182]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of cell migration [GO:0030335]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; protein folding in endoplasmic reticulum [GO:0034975]; protein refolding [GO:0042026]; regulation of ATF6-mediated unfolded protein response [GO:1903891]; regulation of IRE1-mediated unfolded protein response [GO:1903894]; regulation of PERK-mediated unfolded protein response [GO:1903897]; regulation of protein folding in endoplasmic reticulum [GO:0060904]; response to cocaine [GO:0042220]; response to methamphetamine hydrochloride [GO:1904313]; response to unfolded protein [GO:0006986]; stress response to metal ion [GO:0097501]; substantia nigra development [GO:0021762]; toxin transport [GO:1901998]; ubiquitin-dependent ERAD pathway [GO:0030433]	ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; chaperone binding [GO:0051087]; enzyme binding [GO:0019899]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein domain specific binding [GO:0019904]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]
P55072	TERA_HUMAN	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	Homo sapiens (Human)	806	VCP	ATPase complex [GO:1904949]; azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; Derlin-1 retrotranslocation complex [GO:0036513]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; glutamatergic synapse [GO:0098978]; intracellular membrane-bounded organelle [GO:0043231]; lipid droplet [GO:0005811]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; proteasome complex [GO:0000502]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]; site of double-strand break [GO:0035861]; VCP-NPL4-UFD1 AAA ATPase complex [GO:0034098]; VCP-NSFL1C complex [GO:1990730]	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; aggresome assembly [GO:0070842]; ATP metabolic process [GO:0046034]; autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; cellular response to arsenite ion [GO:1903843]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to heat [GO:0034605]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; endoplasmic reticulum stress-induced pre-emptive quality control [GO:0061857]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; endoplasmic reticulum unfolded protein response [GO:0030968]; endosome to lysosome transport via multivesicular body sorting pathway [GO:0032510]; ERAD pathway [GO:0036503]; ER-associated misfolded protein catabolic process [GO:0071712]; error-free translesion synthesis [GO:0070987]; establishment of protein localization [GO:0045184]; flavin adenine dinucleotide catabolic process [GO:0072389]; macroautophagy [GO:0016236]; mitotic spindle disassembly [GO:0051228]; NADH metabolic process [GO:0006734]; neutrophil degranulation [GO:0043312]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of Lys63-specific deubiquitinase activity [GO:1903007]; positive regulation of mitochondrial membrane potential [GO:0010918]; positive regulation of oxidative phosphorylation [GO:1903862]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein complex assembly [GO:0031334]; positive regulation of protein K63-linked deubiquitination [GO:1903006]; proteasomal protein catabolic process [GO:0010498]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein folding [GO:0006457]; protein hexamerization [GO:0034214]; protein homooligomerization [GO:0051260]; protein N-linked glycosylation via asparagine [GO:0018279]; protein ubiquitination [GO:0016567]; regulation of aerobic respiration [GO:1903715]; regulation of apoptotic process [GO:0042981]; regulation of synapse organization [GO:0050807]; retrograde protein transport, ER to cytosol [GO:0030970]; stress granule disassembly [GO:0035617]; translesion synthesis [GO:0019985]; transmembrane transport [GO:0055085]; ubiquitin-dependent ERAD pathway [GO:0030433]; viral genome replication [GO:0019079]	ADP binding [GO:0043531]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; BAT3 complex binding [GO:1904288]; deubiquitinase activator activity [GO:0035800]; identical protein binding [GO:0042802]; K48-linked polyubiquitin modification-dependent protein binding [GO:0036435]; lipid binding [GO:0008289]; MHC class I protein binding [GO:0042288]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein domain specific binding [GO:0019904]; protein phosphatase binding [GO:0019903]; RNA binding [GO:0003723]; ubiquitin-like protein ligase binding [GO:0044389]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-specific protease binding [GO:1990381]
