Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..molecular.function.	Gene.ontology..biological.process.	Gene.ontology..cellular.component.
O43707	ACTN4_HUMAN	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	Homo sapiens (Human)	911	ACTN4	actin binding [GO:0003779]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; chromatin DNA binding [GO:0031490]; integrin binding [GO:0005178]; ion channel binding [GO:0044325]; nuclear hormone receptor binding [GO:0035257]; nuclear receptor transcription coactivator activity [GO:0030374]; nucleoside binding [GO:0001882]; protein homodimerization activity [GO:0042803]; protein N-terminus binding [GO:0047485]; retinoic acid receptor binding [GO:0042974]; RNA binding [GO:0003723]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription coactivator activity [GO:0003713]	actin filament bundle assembly [GO:0051017]; bicellular tight junction assembly [GO:0070830]; negative regulation of cellular component movement [GO:0051271]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; peroxisome proliferator activated receptor signaling pathway [GO:0035357]; platelet degranulation [GO:0002576]; positive regulation of cell migration [GO:0030335]; positive regulation of cellular component movement [GO:0051272]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of pinocytosis [GO:0048549]; positive regulation of sodium:proton antiporter activity [GO:0032417]; protein localization to bicellular tight junction [GO:1902396]; protein transport [GO:0015031]; regulation of apoptotic process [GO:0042981]; regulation of nucleic acid-templated transcription [GO:1903506]; response to hypoxia [GO:0001666]; retinoic acid receptor signaling pathway [GO:0048384]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vesicle transport along actin filament [GO:0030050]	brush border [GO:0005903]; cell-cell junction [GO:0005911]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; neuron projection [GO:0043005]; nuclear body [GO:0016604]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; platelet alpha granule lumen [GO:0031093]; protein-containing complex [GO:0032991]; pseudopodium [GO:0031143]; ribonucleoprotein complex [GO:1990904]; stress fiber [GO:0001725]; Z disc [GO:0030018]
P37023	ACVL1_HUMAN	Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)	Homo sapiens (Human)	503	ACVRL1	activin binding [GO:0048185]; activin receptor activity, type I [GO:0016361]; ATP binding [GO:0005524]; BMP receptor activity [GO:0098821]; growth factor binding [GO:0019838]; metal ion binding [GO:0046872]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transforming growth factor beta-activated receptor activity [GO:0005024]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta receptor activity, type I [GO:0005025]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]	angiogenesis [GO:0001525]; artery development [GO:0060840]; blood circulation [GO:0008015]; blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:0002043]; blood vessel maturation [GO:0001955]; blood vessel remodeling [GO:0001974]; BMP signaling pathway [GO:0030509]; cellular response to BMP stimulus [GO:0071773]; cellular response to transforming growth factor beta stimulus [GO:0071560]; dorsal aorta morphogenesis [GO:0035912]; endocardial cushion morphogenesis [GO:0003203]; endothelial tube morphogenesis [GO:0061154]; in utero embryonic development [GO:0001701]; lymphangiogenesis [GO:0001946]; lymphatic endothelial cell differentiation [GO:0060836]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell growth [GO:0030308]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA biosynthetic process [GO:2000279]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of gene expression [GO:0010629]; pattern specification process [GO:0007389]; positive regulation of angiogenesis [GO:0045766]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of endothelial cell differentiation [GO:0045603]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; regulation of blood pressure [GO:0008217]; regulation of blood vessel endothelial cell migration [GO:0043535]; regulation of DNA replication [GO:0006275]; regulation of endothelial cell proliferation [GO:0001936]; regulation of transcription, DNA-templated [GO:0006355]; response to hypoxia [GO:0001666]; retina vasculature development in camera-type eye [GO:0061298]; signal transduction [GO:0007165]; transforming growth factor beta receptor signaling pathway [GO:0007179]; venous blood vessel development [GO:0060841]; wound healing, spreading of epidermal cells [GO:0035313]	activin receptor complex [GO:0048179]; cell surface [GO:0009986]; dendrite [GO:0030425]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
P00813	ADA_HUMAN	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	Homo sapiens (Human)	363	ADA	adenosine deaminase activity [GO:0004000]; purine nucleoside binding [GO:0001883]; zinc ion binding [GO:0008270]	adenosine catabolic process [GO:0006154]; aging [GO:0007568]; cell adhesion [GO:0007155]; dATP catabolic process [GO:0046061]; deoxyadenosine catabolic process [GO:0006157]; embryonic digestive tract development [GO:0048566]; germinal center B cell differentiation [GO:0002314]; histamine secretion [GO:0001821]; hypoxanthine salvage [GO:0043103]; inosine biosynthetic process [GO:0046103]; liver development [GO:0001889]; lung alveolus development [GO:0048286]; negative regulation of adenosine receptor signaling pathway [GO:0060169]; negative regulation of circadian sleep/wake cycle, non-REM sleep [GO:0042323]; negative regulation of inflammatory response [GO:0050728]; negative regulation of leukocyte migration [GO:0002686]; negative regulation of mature B cell apoptotic process [GO:0002906]; negative regulation of mucus secretion [GO:0070256]; negative regulation of penile erection [GO:0060407]; negative regulation of thymocyte apoptotic process [GO:0070244]; Peyer's patch development [GO:0048541]; placenta development [GO:0001890]; positive regulation of alpha-beta T cell differentiation [GO:0046638]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of germinal center formation [GO:0002636]; positive regulation of heart rate [GO:0010460]; positive regulation of smooth muscle contraction [GO:0045987]; positive regulation of T cell differentiation in thymus [GO:0033089]; positive regulation of T cell receptor signaling pathway [GO:0050862]; purine-containing compound salvage [GO:0043101]; purine nucleotide salvage [GO:0032261]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]; regulation of cell-cell adhesion mediated by integrin [GO:0033632]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; response to morphine [GO:0043278]; response to vitamin E [GO:0033197]; T cell activation [GO:0042110]; trophectodermal cell differentiation [GO:0001829]; xanthine biosynthetic process [GO:0046111]	cell junction [GO:0030054]; cell surface [GO:0009986]; cytoplasmic vesicle lumen [GO:0060205]; cytosol [GO:0005829]; dendrite cytoplasm [GO:0032839]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; lysosome [GO:0005764]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]
P78536	ADA17_HUMAN	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	Homo sapiens (Human)	824	ADAM17	endopeptidase activity [GO:0004175]; integrin binding [GO:0005178]; interleukin-6 receptor binding [GO:0005138]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; Notch binding [GO:0005112]; PDZ domain binding [GO:0030165]; peptidase activity [GO:0008233]; SH3 domain binding [GO:0017124]	B cell differentiation [GO:0030183]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell motility [GO:0048870]; cellular response to high density lipoprotein particle stimulus [GO:0071403]; defense response to Gram-positive bacterium [GO:0050830]; epidermal growth factor receptor signaling pathway [GO:0007173]; germinal center formation [GO:0002467]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neutrophil mediated immunity [GO:0002446]; Notch receptor processing [GO:0007220]; Notch signaling pathway [GO:0007219]; PMA-inducible membrane protein ectodomain proteolysis [GO:0051088]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cellular component movement [GO:0051272]; positive regulation of chemokine production [GO:0032722]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of epidermal growth factor-activated receptor activity [GO:0045741]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of leukocyte chemotaxis [GO:0002690]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of T cell chemotaxis [GO:0010820]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; proteolysis [GO:0006508]; receptor transactivation [GO:0035624]; regulation of mast cell apoptotic process [GO:0033025]; response to drug [GO:0042493]; response to hypoxia [GO:0001666]; response to lipopolysaccharide [GO:0032496]; spleen development [GO:0048536]; T cell differentiation in thymus [GO:0033077]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; wound healing, spreading of epidermal cells [GO:0035313]	actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
P30566	PUR8_HUMAN	Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	Homo sapiens (Human)	484	ADSL	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]	'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]; aerobic respiration [GO:0009060]; AMP biosynthetic process [GO:0006167]; protein tetramerization [GO:0051262]; purine nucleotide biosynthetic process [GO:0006164]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]; response to hypoxia [GO:0001666]; response to muscle activity [GO:0014850]; response to nutrient [GO:0007584]; response to starvation [GO:0042594]	cytosol [GO:0005829]
P23526	SAHH_HUMAN	Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)	Homo sapiens (Human)	432	AHCY	adenosylhomocysteinase activity [GO:0004013]; adenyl nucleotide binding [GO:0030554]; identical protein binding [GO:0042802]; NAD binding [GO:0051287]	chronic inflammatory response to antigenic stimulus [GO:0002439]; circadian sleep/wake cycle [GO:0042745]; methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]; response to hypoxia [GO:0001666]; response to nutrient [GO:0007584]; S-adenosylhomocysteine catabolic process [GO:0019510]; S-adenosylmethionine cycle [GO:0033353]; sulfur amino acid metabolic process [GO:0000096]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; melanosome [GO:0042470]; neuron projection [GO:0043005]; nucleus [GO:0005634]
P13716	HEM2_HUMAN	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	Homo sapiens (Human)	330	ALAD	catalytic activity [GO:0003824]; identical protein binding [GO:0042802]; porphobilinogen synthase activity [GO:0004655]; proteasome core complex binding [GO:1904854]; zinc ion binding [GO:0008270]	cellular response to interleukin-4 [GO:0071353]; cellular response to lead ion [GO:0071284]; heme biosynthetic process [GO:0006783]; negative regulation of proteasomal protein catabolic process [GO:1901799]; neutrophil degranulation [GO:0043312]; protein homooligomerization [GO:0051260]; protoporphyrinogen IX biosynthetic process [GO:0006782]; response to activity [GO:0014823]; response to aluminum ion [GO:0010044]; response to amino acid [GO:0043200]; response to arsenic-containing substance [GO:0046685]; response to cadmium ion [GO:0046686]; response to cobalt ion [GO:0032025]; response to ethanol [GO:0045471]; response to fatty acid [GO:0070542]; response to glucocorticoid [GO:0051384]; response to herbicide [GO:0009635]; response to hypoxia [GO:0001666]; response to ionizing radiation [GO:0010212]; response to iron ion [GO:0010039]; response to lipopolysaccharide [GO:0032496]; response to mercury ion [GO:0046689]; response to methylmercury [GO:0051597]; response to oxidative stress [GO:0006979]; response to platinum ion [GO:0070541]; response to selenium ion [GO:0010269]; response to vitamin B1 [GO:0010266]; response to vitamin E [GO:0033197]; response to zinc ion [GO:0010043]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]
P22557	HEM0_HUMAN	5-aminolevulinate synthase, erythroid-specific, mitochondrial (ALAS-E) (EC 2.3.1.37) (5-aminolevulinic acid synthase 2) (Delta-ALA synthase 2) (Delta-aminolevulinate synthase 2)	Homo sapiens (Human)	587	ALAS2	5-aminolevulinate synthase activity [GO:0003870]; coenzyme binding [GO:0050662]; glycine binding [GO:0016594]; pyridoxal phosphate binding [GO:0030170]	cellular iron ion homeostasis [GO:0006879]; erythrocyte differentiation [GO:0030218]; heme biosynthetic process [GO:0006783]; hemoglobin biosynthetic process [GO:0042541]; oxygen homeostasis [GO:0032364]; protoporphyrinogen IX biosynthetic process [GO:0006782]; response to hypoxia [GO:0001666]	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P03950	ANGI_HUMAN	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)	Homo sapiens (Human)	147	ANG	actin binding [GO:0003779]; copper ion binding [GO:0005507]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; heparin binding [GO:0008201]; peptide binding [GO:0042277]; protein homodimerization activity [GO:0042803]; ribonuclease activity [GO:0004540]; rRNA binding [GO:0019843]; signaling receptor binding [GO:0005102]	actin filament polymerization [GO:0030041]; activation of phospholipase A2 activity [GO:0032431]; activation of phospholipase C activity [GO:0007202]; activation of protein kinase B activity [GO:0032148]; adherens junction organization [GO:0034332]; angiogenesis [GO:0001525]; antibacterial humoral response [GO:0019731]; antifungal humoral response [GO:0019732]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cell communication [GO:0007154]; cell migration [GO:0016477]; defense response to Gram-positive bacterium [GO:0050830]; diacylglycerol biosynthetic process [GO:0006651]; homeostatic process [GO:0042592]; innate immune response [GO:0045087]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of translation [GO:0017148]; oocyte maturation [GO:0001556]; ovarian follicle development [GO:0001541]; placenta development [GO:0001890]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of phosphorylation [GO:0042327]; positive regulation of protein secretion [GO:0050714]; response to hormone [GO:0009725]; response to hypoxia [GO:0001666]; response to yeast [GO:0001878]; rRNA transcription [GO:0009303]	angiogenin-PRI complex [GO:0032311]; basement membrane [GO:0005604]; cytoplasmic vesicle [GO:0031410]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; growth cone [GO:0030426]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleus [GO:0005634]
P27540	ARNT_HUMAN	Aryl hydrocarbon receptor nuclear translocator (ARNT protein) (Class E basic helix-loop-helix protein 2) (bHLHe2) (Dioxin receptor, nuclear translocator) (Hypoxia-inducible factor 1-beta) (HIF-1-beta) (HIF1-beta)	Homo sapiens (Human)	789	ARNT	aryl hydrocarbon receptor binding [GO:0017162]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enhancer binding [GO:0035326]; nuclear receptor activity [GO:0004879]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]	cell differentiation [GO:0030154]; embryonic placenta development [GO:0001892]; mRNA transcription by RNA polymerase II [GO:0042789]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of glycolytic process [GO:0045821]; positive regulation of hormone biosynthetic process [GO:0046886]; positive regulation of protein sumoylation [GO:0033235]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of vascular endothelial growth factor production [GO:0010575]; positive regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030949]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; response to hypoxia [GO:0001666]; transcription, DNA-templated [GO:0006351]; xenobiotic metabolic process [GO:0006805]	cytoplasm [GO:0005737]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]
