Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)	Gene ontology (biological process)	Gene ontology (molecular function)
Q09666	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	Homo sapiens (Human)	5890	AHNAK	actin cytoskeleton [GO:0015629]; cell-cell contact zone [GO:0044291]; costamere [GO:0043034]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; vesicle [GO:0031982]	protein complex oligomerization [GO:0051259]; regulation of RNA splicing [GO:0043484]; regulation of voltage-gated calcium channel activity [GO:1901385]	cadherin binding [GO:0045296]; RNA binding [GO:0003723]; S100 protein binding [GO:0044548]; structural molecule activity conferring elasticity [GO:0097493]
P46013	KI67_HUMAN	Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67) (Antigen KI-67) (Antigen Ki67)	Homo sapiens (Human)	3256	MKI67	chromosome [GO:0005694]; membrane [GO:0016020]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleus [GO:0005634]	cell cycle [GO:0007049]; cell population proliferation [GO:0008283]; regulation of chromatin organization [GO:1902275]; regulation of chromosome segregation [GO:0051983]; regulation of mitotic nuclear division [GO:0007088]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; protein C-terminus binding [GO:0008022]; RNA binding [GO:0003723]
P42704	LPPRC_HUMAN	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	Homo sapiens (Human)	1394	LRPPRC	condensed nuclear chromosome [GO:0000794]; cytoskeleton [GO:0005856]; membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nuclear inner membrane [GO:0005637]; nuclear outer membrane [GO:0005640]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ribonucleoprotein complex [GO:1990904]	mitochondrion transport along microtubule [GO:0047497]; mRNA transport [GO:0051028]; negative regulation of mitochondrial RNA catabolic process [GO:0000961]; regulation of mitochondrial translation [GO:0070129]	beta-tubulin binding [GO:0048487]; microtubule binding [GO:0008017]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase binding [GO:0031625]
Q15149	PLEC_HUMAN	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	Homo sapiens (Human)	4684	PLEC	brush border [GO:0005903]; costamere [GO:0043034]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; hemidesmosome [GO:0030056]; intermediate filament cytoskeleton [GO:0045111]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; sarcoplasm [GO:0016528]	hemidesmosome assembly [GO:0031581]; intermediate filament cytoskeleton organization [GO:0045104]; wound healing [GO:0042060]	actin binding [GO:0003779]; ankyrin binding [GO:0030506]; cadherin binding [GO:0045296]; RNA binding [GO:0003723]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; structural molecule activity [GO:0005198]
P78527	PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	Homo sapiens (Human)	4128	PRKDC	cytosol [GO:0005829]; DNA-dependent protein kinase-DNA ligase 4 complex [GO:0005958]; membrane [GO:0016020]; nonhomologous end joining complex [GO:0070419]; nuclear chromosome, telomeric region [GO:0000784]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]; transcription factor complex [GO:0005667]	activation of innate immune response [GO:0002218]; B cell lineage commitment [GO:0002326]; brain development [GO:0007420]; cellular protein modification process [GO:0006464]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to insulin stimulus [GO:0032869]; double-strand break repair [GO:0006302]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; double-strand break repair via nonhomologous end joining [GO:0006303]; ectopic germ cell programmed cell death [GO:0035234]; heart development [GO:0007507]; immunoglobulin V(D)J recombination [GO:0033152]; innate immune response [GO:0045087]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cellular senescence [GO:2000773]; negative regulation of immunoglobulin production [GO:0002638]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of response to gamma radiation [GO:2001229]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of apoptotic process [GO:0043065]; positive regulation of developmental growth [GO:0048639]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type I interferon production [GO:0032481]; pro-B cell differentiation [GO:0002328]; protein destabilization [GO:0031648]; protein phosphorylation [GO:0006468]; protein ubiquitination [GO:0016567]; regulation of circadian rhythm [GO:0042752]; regulation of epithelial cell proliferation [GO:0050678]; regulation of smooth muscle cell proliferation [GO:0048660]; response to activity [GO:0014823]; response to gamma radiation [GO:0010332]; rhythmic process [GO:0048511]; signal transduction involved in mitotic G1 DNA damage checkpoint [GO:0072431]; somitogenesis [GO:0001756]; spleen development [GO:0048536]; T cell differentiation in thymus [GO:0033077]; T cell lineage commitment [GO:0002360]; T cell receptor V(D)J recombination [GO:0033153]; telomere capping [GO:0016233]; telomere maintenance [GO:0000723]; thymus development [GO:0048538]	ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; protein domain specific binding [GO:0019904]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; RNA binding [GO:0003723]; transcription factor binding [GO:0008134]
Q14690	RRP5_HUMAN	Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)	Homo sapiens (Human)	1871	PDCD11	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]	mRNA processing [GO:0006397]; rRNA processing [GO:0006364]	RNA binding [GO:0003723]; transcription factor binding [GO:0008134]
Q6P2Q9	PRP8_HUMAN	Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)	Homo sapiens (Human)	2335	PRPF8	catalytic step 2 spliceosome [GO:0071013]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]	cellular response to lipopolysaccharide [GO:0071222]; cellular response to tumor necrosis factor [GO:0071356]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; spliceosomal tri-snRNP complex assembly [GO:0000244]	K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; pre-mRNA intronic binding [GO:0097157]; RNA binding [GO:0003723]; second spliceosomal transesterification activity [GO:0000386]; U1 snRNA binding [GO:0030619]; U2 snRNA binding [GO:0030620]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]
Q96T58	MINT_HUMAN	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	Homo sapiens (Human)	3664	SPEN	extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcriptional repressor complex [GO:0017053]	negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; Notch signaling pathway [GO:0007219]; positive regulation of neurogenesis [GO:0050769]; viral process [GO:0016032]	DNA binding [GO:0003677]; RNA binding [GO:0003723]; RNA polymerase II transcription factor binding [GO:0001085]; transcription corepressor activity [GO:0003714]
O75691	UTP20_HUMAN	Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6)	Homo sapiens (Human)	2785	UTP20	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; preribosome, small subunit precursor [GO:0030688]; small-subunit processome [GO:0032040]	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; negative regulation of cell population proliferation [GO:0008285]; rRNA processing [GO:0006364]	RNA binding [GO:0003723]
Q14152	EIF3A_HUMAN	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)	Homo sapiens (Human)	1382	EIF3A	cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3e [GO:0071540]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]; membrane [GO:0016020]; microtubule [GO:0005874]; multi-eIF complex [GO:0043614]; nucleolus [GO:0005730]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]	formation of cytoplasmic translation initiation complex [GO:0001732]; IRES-dependent viral translational initiation [GO:0075522]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; translational initiation [GO:0006413]; translation reinitiation [GO:0002188]; viral translational termination-reinitiation [GO:0075525]	mRNA binding [GO:0003729]; receptor tyrosine kinase binding [GO:0030971]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]; translation initiation factor activity [GO:0003743]
