Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..molecular.function.	Gene.ontology..biological.process.	Gene.ontology..cellular.component.
Q9UKV5	AMFR_HUMAN	E3 ubiquitin-protein ligase AMFR (EC 2.3.2.27) (Autocrine motility factor receptor) (AMF receptor) (RING finger protein 45) (RING-type E3 ubiquitin transferase AMFR) (gp78)	Homo sapiens (Human)	643	AMFR	BAT3 complex binding [GO:1904288]; chaperone binding [GO:0051087]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein binding, bridging [GO:0030674]; signaling receptor activity [GO:0038023]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; ubiquitin-specific protease binding [GO:1990381]; ubiquitin-ubiquitin ligase activity [GO:0034450]	aging [GO:0007568]; endoplasmic reticulum mannose trimming [GO:1904380]; endoplasmic reticulum unfolded protein response [GO:0030968]; learning or memory [GO:0007611]; positive regulation of protein binding [GO:0032092]; protein autoubiquitination [GO:0051865]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; signal transduction [GO:0007165]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytosol [GO:0005829]; dendrite [GO:0030425]; Derlin-1 retrotranslocation complex [GO:0036513]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum quality control compartment [GO:0044322]; Golgi apparatus [GO:0005794]; growth cone [GO:0030426]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; ubiquitin ligase complex [GO:0000151]
P18850	ATF6A_HUMAN	Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha]	Homo sapiens (Human)	670	ATF6	cAMP response element binding [GO:0035497]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; ubiquitin protein ligase binding [GO:0031625]	ATF6-mediated unfolded protein response [GO:0036500]; endoplasmic reticulum unfolded protein response [GO:0030968]; eye development [GO:0001654]; positive regulation of apoptotic process [GO:0043065]; positive regulation of ATF6-mediated unfolded protein response [GO:1903893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; protein folding [GO:0006457]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]; visual perception [GO:0007601]	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of endoplasmic reticulum membrane [GO:0030176]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P24385	CCND1_HUMAN	G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene)	Homo sapiens (Human)	295	CCND1	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; proline-rich region binding [GO:0070064]; protein-containing complex binding [GO:0044877]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]	cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; cytokine-mediated signaling pathway [GO:0019221]; endoplasmic reticulum unfolded protein response [GO:0030968]; fat cell differentiation [GO:0045444]; G1/S transition of mitotic cell cycle [GO:0000082]; lactation [GO:0007595]; Leydig cell differentiation [GO:0033327]; liver regeneration [GO:0097421]; mammary gland alveolus development [GO:0060749]; mammary gland epithelial cell proliferation [GO:0033598]; mitotic cell cycle phase transition [GO:0044772]; mitotic G1 DNA damage checkpoint [GO:0031571]; negative regulation of cell cycle arrest [GO:0071157]; negative regulation of epithelial cell differentiation [GO:0030857]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell cycle [GO:0045787]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of mammary gland epithelial cell proliferation [GO:0033601]; positive regulation of protein phosphorylation [GO:0001934]; re-entry into mitotic cell cycle [GO:0000320]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; response to calcium ion [GO:0051592]; response to corticosterone [GO:0051412]; response to drug [GO:0042493]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]; response to ethanol [GO:0045471]; response to iron ion [GO:0010039]; response to leptin [GO:0044321]; response to magnesium ion [GO:0032026]; response to organonitrogen compound [GO:0010243]; response to UV-A [GO:0070141]; response to vitamin E [GO:0033197]; response to X-ray [GO:0010165]; transcription initiation from RNA polymerase II promoter [GO:0006367]; Wnt signaling pathway [GO:0016055]	bicellular tight junction [GO:0005923]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular [GO:0005622]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcriptional repressor complex [GO:0017053]
Q96JB5	CK5P3_HUMAN	CDK5 regulatory subunit-associated protein 3 (CDK5 activator-binding protein C53) (LXXLL/leucine-zipper-containing ARF-binding protein) (Protein HSF-27)	Homo sapiens (Human)	506	CDK5RAP3	cyclin binding [GO:0030332]; MDM2/MDM4 family protein binding [GO:0097371]; mitogen-activated protein kinase binding [GO:0051019]; NF-kappaB binding [GO:0051059]; protein kinase binding [GO:0019901]; ubiquitin-like protein ligase binding [GO:0044389]	apoptotic nuclear changes [GO:0030262]; brain development [GO:0007420]; cell population proliferation [GO:0008283]; endoplasmic reticulum unfolded protein response [GO:0030968]; mitotic G2/M transition checkpoint [GO:0044818]; mitotic G2 DNA damage checkpoint [GO:0007095]; negative regulation of cellular protein catabolic process [GO:1903363]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein serine/threonine kinase activity [GO:0071901]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of signal transduction by p53 class mediator [GO:1901798]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein ufmylation [GO:0071569]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of mitotic cell cycle [GO:0007346]; regulation of neuron differentiation [GO:0045664]; regulation of phosphatase activity [GO:0010921]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q8IUR6	CRERF_HUMAN	CREB3 regulatory factor (Luman recruitment factor) (LRF)	Homo sapiens (Human)	639	CREBRF	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]	endoplasmic reticulum unfolded protein response [GO:0030968]; maternal behavior [GO:0042711]; negative regulation of endoplasmic reticulum unfolded protein response [GO:1900102]; negative regulation of glucocorticoid mediated signaling pathway [GO:1900170]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of intracellular transport [GO:0032388]; positive regulation of prolactin signaling pathway [GO:1902213]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein transport [GO:0051222]; positive regulation of transcription by RNA polymerase II [GO:0045944]; response to endoplasmic reticulum stress [GO:0034976]	cytoplasm [GO:0005737]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9BUN8	DERL1_HUMAN	Derlin-1 (Degradation in endoplasmic reticulum protein 1) (DERtrin-1) (Der1-like protein 1)	Homo sapiens (Human)	251	DERL1	ATPase binding [GO:0051117]; MHC class I protein binding [GO:0042288]; protease binding [GO:0002020]; signaling receptor activity [GO:0038023]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-specific protease binding [GO:1990381]	endoplasmic reticulum unfolded protein response [GO:0030968]; ERAD pathway [GO:0036503]; ER-associated misfolded protein catabolic process [GO:0071712]; establishment of protein localization [GO:0045184]; positive regulation of protein binding [GO:0032092]; positive regulation of protein ubiquitination [GO:0031398]; protein destabilization [GO:0031648]; protein folding [GO:0006457]; protein homooligomerization [GO:0051260]; protein ubiquitination [GO:0016567]; response to unfolded protein [GO:0006986]; retrograde protein transport, ER to cytosol [GO:0030970]; transmembrane transport [GO:0055085]; ubiquitin-dependent ERAD pathway [GO:0030433]; viral process [GO:0016032]	Derlin-1 retrotranslocation complex [GO:0036513]; Derlin-1-VIMP complex [GO:0036502]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of membrane [GO:0016021]; late endosome [GO:0005770]; membrane [GO:0016020]
Q9GZP9	DERL2_HUMAN	Derlin-2 (Degradation in endoplasmic reticulum protein 2) (DERtrin-2) (Der1-like protein 2) (F-LAN-1) (F-LANa)	Homo sapiens (Human)	239	DERL2		endoplasmic reticulum mannose trimming [GO:1904380]; endoplasmic reticulum unfolded protein response [GO:0030968]; negative regulation of retrograde protein transport, ER to cytosol [GO:1904153]; positive regulation of cell growth [GO:0030307]; positive regulation of cell population proliferation [GO:0008284]; retrograde protein transport, ER to cytosol [GO:0030970]; suckling behavior [GO:0001967]; ubiquitin-dependent ERAD pathway [GO:0030433]	early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum quality control compartment [GO:0044322]; integral component of endoplasmic reticulum membrane [GO:0030176]; late endosome [GO:0005770]; membrane [GO:0016020]
O75460	ERN1_HUMAN	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	Homo sapiens (Human)	977	ERN1	ADP binding [GO:0043531]; ATP binding [GO:0005524]; endoribonuclease activity [GO:0004521]; enzyme binding [GO:0019899]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; platelet-derived growth factor receptor binding [GO:0005161]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; unfolded protein binding [GO:0051082]	activation of JUN kinase activity [GO:0007257]; cell cycle arrest [GO:0007050]; cellular response to glucose stimulus [GO:0071333]; cellular response to unfolded protein [GO:0034620]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; endoplasmic reticulum unfolded protein response [GO:0030968]; endothelial cell proliferation [GO:0001935]; insulin metabolic process [GO:1901142]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; IRE1-mediated unfolded protein response [GO:0036498]; mRNA catabolic process [GO:0006402]; mRNA cleavage [GO:0006379]; mRNA cleavage involved in mRNA processing [GO:0098787]; mRNA splicing, via endonucleolytic cleavage and ligation [GO:0070054]; peptidyl-serine autophosphorylation [GO:0036289]; peptidyl-serine trans-autophosphorylation [GO:1990579]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of RNA splicing [GO:0033120]; positive regulation of vascular smooth muscle cell proliferation [GO:1904707]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of macroautophagy [GO:0016241]; response to endoplasmic reticulum stress [GO:0034976]	AIP1-IRE1 complex [GO:1990597]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; Ire1 complex [GO:1990332]; IRE1-RACK1-PP2A complex [GO:1990630]; IRE1-TRAF2-ASK1 complex [GO:1990604]; mitochondrion [GO:0005739]; nuclear inner membrane [GO:0005637]
Q15011	HERP1_HUMAN	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Methyl methanesulfonate (MMF)-inducible fragment protein 1)	Homo sapiens (Human)	391	HERPUD1	ion channel binding [GO:0044325]; protein binding, bridging involved in substrate recognition for ubiquitination [GO:1990756]	endoplasmic reticulum calcium ion homeostasis [GO:0032469]; endoplasmic reticulum unfolded protein response [GO:0030968]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903071]; regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903069]; regulation of protein ubiquitination [GO:0031396]; response to endoplasmic reticulum stress [GO:0034976]; response to unfolded protein [GO:0006986]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent protein catabolic process [GO:0006511]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; Lewy body core [GO:1990037]; membrane [GO:0016020]
Q9BSE4	HERP2_HUMAN	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein	Homo sapiens (Human)	406	HERPUD2		endoplasmic reticulum unfolded protein response [GO:0030968]; spermatogenesis [GO:0007283]	integral component of membrane [GO:0016021]
