Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..cellular.component.	Gene.ontology..biological.process.	Gene.ontology..molecular.function.
Q9Y4P3	TBL2_HUMAN	Transducin beta-like protein 2 (WS beta-transducin repeats protein) (WS-betaTRP) (Williams-Beuren syndrome chromosomal region 13 protein)	Homo sapiens (Human)	447	TBL2	endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]	cellular response to glucose starvation [GO:0042149]; cellular response to hypoxia [GO:0071456]; endoplasmic reticulum unfolded protein response [GO:0030968]	phosphoprotein binding [GO:0051219]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; translation initiation factor binding [GO:0031369]
P07237	PDIA1_HUMAN	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	Homo sapiens (Human)	508	P4HB	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; procollagen-proline 4-dioxygenase complex [GO:0016222]	cell redox homeostasis [GO:0045454]; cellular protein metabolic process [GO:0044267]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-7 [GO:0098761]; chylomicron assembly [GO:0034378]; interleukin-12-mediated signaling pathway [GO:0035722]; interleukin-23-mediated signaling pathway [GO:0038155]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; positive regulation of viral entry into host cell [GO:0046598]; post-translational protein modification [GO:0043687]; protein folding [GO:0006457]; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902175]; response to endoplasmic reticulum stress [GO:0034976]; very-low-density lipoprotein particle assembly [GO:0034379]	enzyme binding [GO:0019899]; integrin binding [GO:0005178]; peptide disulfide oxidoreductase activity [GO:0015037]; procollagen-proline 4-dioxygenase activity [GO:0004656]; protein disulfide isomerase activity [GO:0003756]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]
P14618	KPYM_HUMAN	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)	Homo sapiens (Human)	531	PKM	cilium [GO:0005929]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular vesicle [GO:1903561]; ficolin-1-rich granule lumen [GO:1904813]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; pyruvate kinase complex [GO:1902912]; secretory granule lumen [GO:0034774]; vesicle [GO:0031982]	animal organ regeneration [GO:0031100]; canonical glycolysis [GO:0061621]; cellular response to insulin stimulus [GO:0032869]; glycolytic process [GO:0006096]; liver development [GO:0001889]; neutrophil degranulation [GO:0043312]; positive regulation of sprouting angiogenesis [GO:1903672]; programmed cell death [GO:0012501]; protein homotetramerization [GO:0051289]; response to gravity [GO:0009629]; response to hypoxia [GO:0001666]; response to muscle inactivity [GO:0014870]; response to nutrient [GO:0007584]; skeletal muscle tissue regeneration [GO:0043403]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; MHC class II protein complex binding [GO:0023026]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; RNA binding [GO:0003723]; thyroid hormone binding [GO:0070324]
P06733	ENOA_HUMAN	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	Homo sapiens (Human)	434	ENO1	cell cortex region [GO:0099738]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; phosphopyruvate hydratase complex [GO:0000015]; plasma membrane [GO:0005886]	canonical glycolysis [GO:0061621]; gluconeogenesis [GO:0006094]; negative regulation of cell growth [GO:0030308]; negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway [GO:1903298]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of muscle contraction [GO:0045933]; positive regulation of plasminogen activation [GO:0010756]; response to virus [GO:0009615]	cadherin binding [GO:0045296]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; GTPase binding [GO:0051020]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
Q6P6C2	ALKB5_HUMAN	RNA demethylase ALKBH5 (EC 1.14.11.53) (Alkylated DNA repair protein alkB homolog 5) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 5)	Homo sapiens (Human)	394	ALKBH5	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	cell differentiation [GO:0030154]; DNA dealkylation involved in DNA repair [GO:0006307]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; oxidative single-stranded RNA demethylation [GO:0035553]; regulation of mRNA stability [GO:0043488]; response to hypoxia [GO:0001666]; spermatogenesis [GO:0007283]	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; metal ion binding [GO:0046872]; oxidative RNA demethylase activity [GO:0035515]; RNA binding [GO:0003723]; RNA N6-methyladenosine dioxygenase activity [GO:1990931]
O43707	ACTN4_HUMAN	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	Homo sapiens (Human)	911	ACTN4	brush border [GO:0005903]; cell-cell junction [GO:0005911]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; intracellular [GO:0005622]; neuron projection [GO:0043005]; nuclear body [GO:0016604]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; platelet alpha granule lumen [GO:0031093]; protein-containing complex [GO:0032991]; pseudopodium [GO:0031143]; ribonucleoprotein complex [GO:1990904]; stress fiber [GO:0001725]; Z disc [GO:0030018]	actin filament bundle assembly [GO:0051017]; bicellular tight junction assembly [GO:0070830]; negative regulation of cellular component movement [GO:0051271]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; peroxisome proliferator activated receptor signaling pathway [GO:0035357]; platelet degranulation [GO:0002576]; positive regulation of cell migration [GO:0030335]; positive regulation of cellular component movement [GO:0051272]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of pinocytosis [GO:0048549]; positive regulation of sodium:proton antiporter activity [GO:0032417]; protein localization to bicellular tight junction [GO:1902396]; protein transport [GO:0015031]; regulation of apoptotic process [GO:0042981]; regulation of nucleic acid-templated transcription [GO:1903506]; response to hypoxia [GO:0001666]; retinoic acid receptor signaling pathway [GO:0048384]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vesicle transport along actin filament [GO:0030050]	actin binding [GO:0003779]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; chromatin DNA binding [GO:0031490]; integrin binding [GO:0005178]; ion channel binding [GO:0044325]; nuclear hormone receptor binding [GO:0035257]; nuclear receptor transcription coactivator activity [GO:0030374]; nucleoside binding [GO:0001882]; protein homodimerization activity [GO:0042803]; protein N-terminus binding [GO:0047485]; retinoic acid receptor binding [GO:0042974]; RNA binding [GO:0003723]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription coactivator activity [GO:0003713]
P04040	CATA_HUMAN	Catalase (EC 1.11.1.6)	Homo sapiens (Human)	527	CAT	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane [GO:0016020]; mitochondrial intermembrane space [GO:0005758]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; plasma membrane [GO:0005886]; secretory granule lumen [GO:0034774]	aerobic respiration [GO:0009060]; aging [GO:0007568]; cellular response to growth factor stimulus [GO:0071363]; cellular response to oxidative stress [GO:0034599]; cholesterol metabolic process [GO:0008203]; hemoglobin metabolic process [GO:0020027]; hydrogen peroxide catabolic process [GO:0042744]; negative regulation of apoptotic process [GO:0043066]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; neutrophil degranulation [GO:0043312]; osteoblast differentiation [GO:0001649]; positive regulation of cell division [GO:0051781]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; protein homotetramerization [GO:0051289]; protein targeting to peroxisome [GO:0006625]; protein tetramerization [GO:0051262]; response to activity [GO:0014823]; response to cadmium ion [GO:0046686]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to fatty acid [GO:0070542]; response to hydrogen peroxide [GO:0042542]; response to hyperoxia [GO:0055093]; response to hypoxia [GO:0001666]; response to inactivity [GO:0014854]; response to insulin [GO:0032868]; response to L-ascorbic acid [GO:0033591]; response to lead ion [GO:0010288]; response to light intensity [GO:0009642]; response to ozone [GO:0010193]; response to phenylpropanoid [GO:0080184]; response to reactive oxygen species [GO:0000302]; response to vitamin A [GO:0033189]; response to vitamin E [GO:0033197]; triglyceride metabolic process [GO:0006641]; ureteric bud development [GO:0001657]; UV protection [GO:0009650]	aminoacylase activity [GO:0004046]; antioxidant activity [GO:0016209]; catalase activity [GO:0004096]; enzyme binding [GO:0019899]; heme binding [GO:0020037]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; NADP binding [GO:0050661]; oxidoreductase activity, acting on peroxide as acceptor [GO:0016684]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]
Q9NZM5	NOP53_HUMAN	Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (Protein interacting with carboxyl terminus 1) (PICT-1) (p60)	Homo sapiens (Human)	478	NOP53	cytosol [GO:0005829]; fibrillar center [GO:0001650]; intracellular [GO:0005622]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	cellular response to DNA damage stimulus [GO:0006974]; cellular response to hypoxia [GO:0071456]; DNA repair [GO:0006281]; mitotic G2 DNA damage checkpoint [GO:0007095]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of protein complex assembly [GO:0031333]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of signal transduction by p53 class mediator [GO:1901797]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901837]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein K63-linked deubiquitination [GO:1903006]; protein localization to nucleolus [GO:1902570]; protein localization to nucleoplasm [GO:1990173]; protein stabilization [GO:0050821]; regulation of aerobic respiration [GO:1903715]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of protein phosphorylation [GO:0001932]; regulation of RIG-I signaling pathway [GO:0039535]; regulation of signal transduction by p53 class mediator [GO:1901796]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]	5S rRNA binding [GO:0008097]; identical protein binding [GO:0042802]; p53 binding [GO:0002039]; RNA binding [GO:0003723]
P02545	LMNA_HUMAN	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	Homo sapiens (Human)	664	LMNA	cytosol [GO:0005829]; intermediate filament [GO:0005882]; lamin filament [GO:0005638]; nuclear envelope [GO:0005635]; nuclear lamina [GO:0005652]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	cellular protein localization [GO:0034613]; cellular response to hypoxia [GO:0071456]; establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; IRE1-mediated unfolded protein response [GO:0036498]; mitotic nuclear envelope reassembly [GO:0007084]; muscle organ development [GO:0007517]; negative regulation of cardiac muscle hypertrophy in response to stress [GO:1903243]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of mesenchymal cell proliferation [GO:0072201]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; nuclear envelope organization [GO:0006998]; positive regulation of cell aging [GO:0090343]; positive regulation of gene expression [GO:0010628]; positive regulation of histone H3-K9 trimethylation [GO:1900114]; protein import into nucleus [GO:0006606]; protein localization to nucleus [GO:0034504]; regulation of cell migration [GO:0030334]; regulation of protein localization to nucleus [GO:1900180]; regulation of protein stability [GO:0031647]; regulation of telomere maintenance [GO:0032204]; ventricular cardiac muscle cell development [GO:0055015]	identical protein binding [GO:0042802]; structural molecule activity [GO:0005198]
Q9Y4L1	HYOU1_HUMAN	Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170)	Homo sapiens (Human)	999	HYOU1	endocytic vesicle lumen [GO:0071682]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; membrane [GO:0016020]; smooth endoplasmic reticulum [GO:0005790]	cellular response to hypoxia [GO:0071456]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903382]; negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway [GO:1903298]; receptor-mediated endocytosis [GO:0006898]; response to endoplasmic reticulum stress [GO:0034976]; response to ischemia [GO:0002931]	ATP binding [GO:0005524]; chaperone binding [GO:0051087]
