Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..cellular.component.	Gene.ontology..biological.process.	Gene.ontology..molecular.function.	Category
P14618	KPYM_HUMAN	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)	Homo sapiens (Human)	531	PKM	cilium [GO:0005929]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular vesicle [GO:1903561]; ficolin-1-rich granule lumen [GO:1904813]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; pyruvate kinase complex [GO:1902912]; secretory granule lumen [GO:0034774]; vesicle [GO:0031982]	animal organ regeneration [GO:0031100]; canonical glycolysis [GO:0061621]; cellular response to insulin stimulus [GO:0032869]; glycolytic process [GO:0006096]; liver development [GO:0001889]; neutrophil degranulation [GO:0043312]; positive regulation of sprouting angiogenesis [GO:1903672]; programmed cell death [GO:0012501]; protein homotetramerization [GO:0051289]; response to gravity [GO:0009629]; response to hypoxia [GO:0001666]; response to muscle inactivity [GO:0014870]; response to nutrient [GO:0007584]; skeletal muscle tissue regeneration [GO:0043403]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; MHC class II protein complex binding [GO:0023026]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; RNA binding [GO:0003723]; thyroid hormone binding [GO:0070324]	Hypoxia-RBP
Q6P6C2	ALKB5_HUMAN	RNA demethylase ALKBH5 (EC 1.14.11.53) (Alkylated DNA repair protein alkB homolog 5) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 5)	Homo sapiens (Human)	394	ALKBH5	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	cell differentiation [GO:0030154]; DNA dealkylation involved in DNA repair [GO:0006307]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; oxidative single-stranded RNA demethylation [GO:0035553]; regulation of mRNA stability [GO:0043488]; response to hypoxia [GO:0001666]; spermatogenesis [GO:0007283]	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; metal ion binding [GO:0046872]; oxidative RNA demethylase activity [GO:0035515]; RNA binding [GO:0003723]; RNA N6-methyladenosine dioxygenase activity [GO:1990931]	Hypoxia-RBP
O43707	ACTN4_HUMAN	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	Homo sapiens (Human)	911	ACTN4	brush border [GO:0005903]; cell-cell junction [GO:0005911]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; intracellular [GO:0005622]; neuron projection [GO:0043005]; nuclear body [GO:0016604]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; platelet alpha granule lumen [GO:0031093]; protein-containing complex [GO:0032991]; pseudopodium [GO:0031143]; ribonucleoprotein complex [GO:1990904]; stress fiber [GO:0001725]; Z disc [GO:0030018]	actin filament bundle assembly [GO:0051017]; bicellular tight junction assembly [GO:0070830]; negative regulation of cellular component movement [GO:0051271]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; peroxisome proliferator activated receptor signaling pathway [GO:0035357]; platelet degranulation [GO:0002576]; positive regulation of cell migration [GO:0030335]; positive regulation of cellular component movement [GO:0051272]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of pinocytosis [GO:0048549]; positive regulation of sodium:proton antiporter activity [GO:0032417]; protein localization to bicellular tight junction [GO:1902396]; protein transport [GO:0015031]; regulation of apoptotic process [GO:0042981]; regulation of nucleic acid-templated transcription [GO:1903506]; response to hypoxia [GO:0001666]; retinoic acid receptor signaling pathway [GO:0048384]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vesicle transport along actin filament [GO:0030050]	actin binding [GO:0003779]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; chromatin DNA binding [GO:0031490]; integrin binding [GO:0005178]; ion channel binding [GO:0044325]; nuclear hormone receptor binding [GO:0035257]; nuclear receptor transcription coactivator activity [GO:0030374]; nucleoside binding [GO:0001882]; protein homodimerization activity [GO:0042803]; protein N-terminus binding [GO:0047485]; retinoic acid receptor binding [GO:0042974]; RNA binding [GO:0003723]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription coactivator activity [GO:0003713]	Hypoxia-RBP
P04040	CATA_HUMAN	Catalase (EC 1.11.1.6)	Homo sapiens (Human)	527	CAT	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane [GO:0016020]; mitochondrial intermembrane space [GO:0005758]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; plasma membrane [GO:0005886]; secretory granule lumen [GO:0034774]	aerobic respiration [GO:0009060]; aging [GO:0007568]; cellular response to growth factor stimulus [GO:0071363]; cellular response to oxidative stress [GO:0034599]; cholesterol metabolic process [GO:0008203]; hemoglobin metabolic process [GO:0020027]; hydrogen peroxide catabolic process [GO:0042744]; negative regulation of apoptotic process [GO:0043066]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; neutrophil degranulation [GO:0043312]; osteoblast differentiation [GO:0001649]; positive regulation of cell division [GO:0051781]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; protein homotetramerization [GO:0051289]; protein targeting to peroxisome [GO:0006625]; protein tetramerization [GO:0051262]; response to activity [GO:0014823]; response to cadmium ion [GO:0046686]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to fatty acid [GO:0070542]; response to hydrogen peroxide [GO:0042542]; response to hyperoxia [GO:0055093]; response to hypoxia [GO:0001666]; response to inactivity [GO:0014854]; response to insulin [GO:0032868]; response to L-ascorbic acid [GO:0033591]; response to lead ion [GO:0010288]; response to light intensity [GO:0009642]; response to ozone [GO:0010193]; response to phenylpropanoid [GO:0080184]; response to reactive oxygen species [GO:0000302]; response to vitamin A [GO:0033189]; response to vitamin E [GO:0033197]; triglyceride metabolic process [GO:0006641]; ureteric bud development [GO:0001657]; UV protection [GO:0009650]	aminoacylase activity [GO:0004046]; antioxidant activity [GO:0016209]; catalase activity [GO:0004096]; enzyme binding [GO:0019899]; heme binding [GO:0020037]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; NADP binding [GO:0050661]; oxidoreductase activity, acting on peroxide as acceptor [GO:0016684]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]	Hypoxia-RBP
P14625	ENPL_HUMAN	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)	Homo sapiens (Human)	803	HSP90B1	collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; endocytic vesicle lumen [GO:0071682]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; membrane [GO:0016020]; midbody [GO:0030496]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	actin rod assembly [GO:0031247]; ATF6-mediated unfolded protein response [GO:0036500]; cellular protein metabolic process [GO:0044267]; cellular response to ATP [GO:0071318]; cytokine-mediated signaling pathway [GO:0019221]; negative regulation of apoptotic process [GO:0043066]; post-translational protein modification [GO:0043687]; protein folding in endoplasmic reticulum [GO:0034975]; protein transport [GO:0015031]; receptor-mediated endocytosis [GO:0006898]; regulation of phosphoprotein phosphatase activity [GO:0043666]; response to endoplasmic reticulum stress [GO:0034976]; response to hypoxia [GO:0001666]; retrograde protein transport, ER to cytosol [GO:0030970]; sequestering of calcium ion [GO:0051208]; toll-like receptor signaling pathway [GO:0002224]; ubiquitin-dependent ERAD pathway [GO:0030433]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; low-density lipoprotein particle receptor binding [GO:0050750]; protein phosphatase binding [GO:0019903]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]	Hypoxia-RBP
Q14643	ITPR1_HUMAN	Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)	Homo sapiens (Human)	2758	ITPR1	calcineurin complex [GO:0005955]; cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nuclear inner membrane [GO:0005637]; nucleolus [GO:0005730]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]; platelet dense tubular network [GO:0031094]; platelet dense tubular network membrane [GO:0031095]; postsynaptic density [GO:0014069]; sarcoplasmic reticulum [GO:0016529]; Schaffer collateral - CA1 synapse [GO:0098685]; secretory granule membrane [GO:0030667]; transport vesicle membrane [GO:0030658]	calcium ion transport [GO:0006816]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; epithelial fluid transport [GO:0042045]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; negative regulation of calcium-mediated signaling [GO:0050849]; platelet activation [GO:0030168]; post-embryonic development [GO:0009791]; regulation of autophagy [GO:0010506]; regulation of cardiac conduction [GO:1903779]; regulation of insulin secretion [GO:0050796]; release of sequestered calcium ion into cytosol [GO:0051209]; response to hypoxia [GO:0001666]; signal transduction [GO:0007165]; voluntary musculoskeletal movement [GO:0050882]	calcium channel inhibitor activity [GO:0019855]; calcium ion binding [GO:0005509]; calcium ion transmembrane transporter activity [GO:0015085]; calcium-release channel activity [GO:0015278]; inositol 1,4,5 trisphosphate binding [GO:0070679]; inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels [GO:0098695]; inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity [GO:0005220]; phosphatidylinositol binding [GO:0035091]	Hypoxia-RBP
P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	Homo sapiens (Human)	332	LDHA	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleus [GO:0005634]	glycolytic process [GO:0006096]; lactate metabolic process [GO:0006089]; NAD metabolic process [GO:0019674]; positive regulation of apoptotic process [GO:0043065]; post-embryonic animal organ development [GO:0048569]; pyruvate metabolic process [GO:0006090]; response to cAMP [GO:0051591]; response to estrogen [GO:0043627]; response to glucose [GO:0009749]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; response to nutrient [GO:0007584]; substantia nigra development [GO:0021762]	cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; L-lactate dehydrogenase activity [GO:0004459]; NAD binding [GO:0051287]	Hypoxia-RBP
P17301	ITA2_HUMAN	Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b)	Homo sapiens (Human)	1181	ITGA2	axon terminus [GO:0043679]; basal part of cell [GO:0045178]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; focal adhesion [GO:0005925]; integrin alpha2-beta1 complex [GO:0034666]; integrin complex [GO:0008305]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	animal organ morphogenesis [GO:0009887]; blood coagulation [GO:0007596]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell-matrix adhesion [GO:0007160]; cell population proliferation [GO:0008283]; cell-substrate adhesion [GO:0031589]; cellular response to estradiol stimulus [GO:0071392]; cellular response to mechanical stimulus [GO:0071260]; collagen-activated signaling pathway [GO:0038065]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; establishment of protein localization [GO:0045184]; extracellular matrix organization [GO:0030198]; female pregnancy [GO:0007565]; focal adhesion assembly [GO:0048041]; hepatocyte differentiation [GO:0070365]; hypotonic response [GO:0006971]; integrin-mediated signaling pathway [GO:0007229]; mammary gland development [GO:0030879]; mesodermal cell differentiation [GO:0048333]; positive regulation of alkaline phosphatase activity [GO:0010694]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell projection organization [GO:0031346]; positive regulation of collagen binding [GO:0033343]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of DNA binding [GO:0043388]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of inflammatory response [GO:0050729]; positive regulation of leukocyte migration [GO:0002687]; positive regulation of phagocytosis, engulfment [GO:0060100]; positive regulation of positive chemotaxis [GO:0050927]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of smooth muscle contraction [GO:0045987]; positive regulation of translation [GO:0045727]; positive regulation of transmission of nerve impulse [GO:0051971]; response to amine [GO:0014075]; response to drug [GO:0042493]; response to hypoxia [GO:0001666]; response to L-ascorbic acid [GO:0033591]; response to muscle activity [GO:0014850]; response to parathyroid hormone [GO:0071107]; skin morphogenesis [GO:0043589]; substrate-dependent cell migration [GO:0006929]	amyloid-beta binding [GO:0001540]; collagen binding [GO:0005518]; collagen binding involved in cell-matrix adhesion [GO:0098639]; collagen receptor activity [GO:0038064]; heparan sulfate proteoglycan binding [GO:0043395]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; protein-containing complex binding [GO:0044877]; protein heterodimerization activity [GO:0046982]; virus receptor activity [GO:0001618]	Hypoxia-RBP
P05026	AT1B1_HUMAN	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Homo sapiens (Human)	303	ATP1B1	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; caveola [GO:0005901]; extracellular exosome [GO:0070062]; extracellular vesicle [GO:1903561]; intercalated disc [GO:0014704]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; sodium:potassium-exchanging ATPase complex [GO:0005890]	ATP metabolic process [GO:0046034]; cardiac muscle contraction [GO:0060048]; cell adhesion [GO:0007155]; cell communication by electrical coupling involved in cardiac conduction [GO:0086064]; cellular calcium ion homeostasis [GO:0006874]; cellular potassium ion homeostasis [GO:0030007]; cellular sodium ion homeostasis [GO:0006883]; leukocyte migration [GO:0050900]; membrane repolarization [GO:0086009]; membrane repolarization during cardiac muscle cell action potential [GO:0086013]; positive regulation of ATPase activity [GO:0032781]; positive regulation of calcium:sodium antiporter activity [GO:1903281]; positive regulation of potassium ion import across plasma membrane [GO:1903288]; positive regulation of potassium ion transmembrane transporter activity [GO:1901018]; positive regulation of sodium ion export across plasma membrane [GO:1903278]; potassium ion import across plasma membrane [GO:1990573]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; protein transport into plasma membrane raft [GO:0044861]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; regulation of gene expression [GO:0010468]; relaxation of cardiac muscle [GO:0055119]; response to hypoxia [GO:0001666]; sodium ion export across plasma membrane [GO:0036376]	ATPase activator activity [GO:0001671]; ATPase binding [GO:0051117]; MHC class II protein complex binding [GO:0023026]; protein C-terminus binding [GO:0008022]; protein kinase binding [GO:0019901]; sodium:potassium-exchanging ATPase activity [GO:0005391]	Hypoxia-RBP
P21359	NF1_HUMAN	Neurofibromin (Neurofibromatosis-related protein NF-1) [Cleaved into: Neurofibromin truncated]	Homo sapiens (Human)	2839	NF1	axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; presynapse [GO:0098793]	actin cytoskeleton organization [GO:0030036]; adrenal gland development [GO:0030325]; amygdala development [GO:0021764]; artery morphogenesis [GO:0048844]; brain development [GO:0007420]; camera-type eye morphogenesis [GO:0048593]; cell communication [GO:0007154]; cellular response to heat [GO:0034605]; cerebral cortex development [GO:0021987]; cognition [GO:0050890]; collagen fibril organization [GO:0030199]; extracellular matrix organization [GO:0030198]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; forebrain astrocyte development [GO:0021897]; forebrain morphogenesis [GO:0048853]; gamma-aminobutyric acid secretion, neurotransmission [GO:0061534]; glutamate secretion, neurotransmission [GO:0061535]; hair follicle maturation [GO:0048820]; heart development [GO:0007507]; liver development [GO:0001889]; MAPK cascade [GO:0000165]; metanephros development [GO:0001656]; myelination in peripheral nervous system [GO:0022011]; negative regulation of angiogenesis [GO:0016525]; negative regulation of astrocyte differentiation [GO:0048712]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of cell migration [GO:0030336]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of neurotransmitter secretion [GO:0046929]; negative regulation of oligodendrocyte differentiation [GO:0048715]; negative regulation of osteoclast differentiation [GO:0045671]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of Rac protein signal transduction [GO:0035021]; neural tube development [GO:0021915]; observational learning [GO:0098597]; osteoblast differentiation [GO:0001649]; peripheral nervous system development [GO:0007422]; phosphatidylinositol 3-kinase signaling [GO:0014065]; pigmentation [GO:0043473]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of apoptotic process [GO:0043065]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]; positive regulation of GTPase activity [GO:0043547]; positive regulation of neuron apoptotic process [GO:0043525]; Ras protein signal transduction [GO:0007265]; regulation of angiogenesis [GO:0045765]; regulation of blood vessel endothelial cell migration [GO:0043535]; regulation of bone resorption [GO:0045124]; regulation of cell-matrix adhesion [GO:0001952]; regulation of gene expression [GO:0010468]; regulation of glial cell differentiation [GO:0045685]; regulation of GTPase activity [GO:0043087]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of long-term synaptic potentiation [GO:1900271]; regulation of synaptic transmission, GABAergic [GO:0032228]; response to hypoxia [GO:0001666]; Schwann cell development [GO:0014044]; skeletal muscle tissue development [GO:0007519]; smooth muscle tissue development [GO:0048745]; spinal cord development [GO:0021510]; sympathetic nervous system development [GO:0048485]; visual learning [GO:0008542]; wound healing [GO:0042060]	GTPase activator activity [GO:0005096]; phosphatidylcholine binding [GO:0031210]; phosphatidylethanolamine binding [GO:0008429]	Hypoxia-RBP
